Date,Time,3,4,5,11
2023-08-15,23:26:37.607352,10,76,110,9.2
2023-08-15,23:27:08.538790,10,76,110,9.2
2023-08-15,23:27:11.566643,10,76,110,9.2
2023-08-15,23:27:14.580800,10,76,110,9.2
2023-08-15,23:27:17.596112,10,76,110,9.2
2023-08-15,23:27:20.611967,10,76,110,9.2
2023-08-15,23:27:23.620301,10,76,110,9.2
2023-08-15,23:27:26.636427,10,76,110,9.2
2023-08-15,23:27:29.651239,10,76,110,9.2
2023-08-15,23:27:32.657855,10,76,110,9.2
2023-08-15,23:27:35.673958,10,76,110,9.2
2023-08-15,23:27:38.684218,10,76,110,9.2
